Date,Value
04/11/2002,454.51M
04/30/2002,454.64M
05/31/2002,454.75M
07/31/2002,454.75M
08/30/2002,455.52M
10/31/2002,455.84M
11/30/2002,456.41M
01/31/2003,456.47M
04/02/2003,456.80M
04/30/2003,456.82M
05/30/2003,454.31M
07/31/2003,452.30M
08/29/2003,447.90M
10/31/2003,443.03M
11/28/2003,443.05M
01/31/2004,453.58M
03/15/2004,456.17M
04/30/2004,457.39M
05/28/2004,456.44M
07/31/2004,449.83M
08/27/2004,450.58M
10/31/2004,429.97M
11/29/2004,405.90M
01/31/2005,406.62M
03/15/2005,407.14M
04/30/2005,410.67M
05/27/2005,412.90M
07/31/2005,414.42M
08/30/2005,414.81M
10/29/2005,578.58M
10/31/2005,578.45M
01/28/2006,582.38M
01/31/2006,582.38M
04/29/2006,600.66M
04/30/2006,599.56M
07/29/2006,601.40M
07/31/2006,601.18M
10/29/2006,606.72M
10/31/2006,606.48M
11/28/2006,606.72M
01/31/2007,609.22M
02/03/2007,610.31M
03/23/2007,610.31M
04/30/2007,629.66M
05/05/2007,633.83M
06/06/2007,633.83M
07/31/2007,635.97M
08/04/2007,636.16M
08/28/2007,636.16M
10/31/2007,643.84M
11/27/2007,643.86M
01/31/2008,644.03M
03/24/2008,646.83M
04/30/2008,653.05M
06/06/2008,653.42M
07/31/2008,654.61M
08/28/2008,654.86M
10/31/2008,655.10M
11/21/2008,655.10M
03/25/2009,658.05M
06/05/2009,658.51M
08/01/2009,658.64M
08/28/2009,658.70M
10/31/2009,659.01M
11/27/2009,659.07M
01/30/2010,634.65M
03/25/2010,611.30M
05/01/2010,611.41M
05/03/2010,611.41M
06/03/2010,606.16M
07/31/2010,601.41M
08/25/2010,601.41M
10/30/2010,605.48M
11/24/2010,605.59M
01/29/2011,584.00M
03/23/2011,562.80M
04/30/2011,565.20M
05/02/2011,565.09M
06/01/2011,565.77M
07/30/2011,560.80M
08/25/2011,556.32M
10/29/2011,553.60M
11/23/2011,545.70M
01/28/2012,547.20M
03/22/2012,535.92M
04/28/2012,528.00M
04/30/2012,527.93M
05/29/2012,521.18M
07/28/2012,498.00M
08/28/2012,493.72M
10/27/2012,483.60M
11/26/2012,484.72M
02/02/2013,472.80M
03/25/2013,471.35M
05/02/2013,475.42M
05/04/2013,476.00M
06/04/2013,470.52M
08/03/2013,468.40M
09/04/2013,467.59M
11/02/2013,464.80M
12/04/2013,463.24M
02/01/2014,461.20M
03/20/2014,461.22M
05/02/2014,458.37M
05/03/2014,458.00M
06/04/2014,455.43M
08/02/2014,451.20M
08/29/2014,450.67M
11/01/2014,437.20M
12/03/2014,434.06M
01/31/2015,430.80M
03/19/2015,431.07M
05/01/2015,428.66M
05/02/2015,428.40M
06/02/2015,426.88M
08/01/2015,423.60M
09/01/2015,421.96M
10/31/2015,419.60M
12/01/2015,418.68M
01/30/2016,413.20M
03/17/2016,415.50M
04/29/2016,415.81M
04/30/2016,416.00M
05/31/2016,415.81M
07/30/2016,416.00M
08/31/2016,415.93M
10/29/2016,410.40M
11/29/2016,407.50M
01/28/2017,404.00M
03/16/2017,404.84M
04/29/2017,405.20M
05/05/2017,405.06M
05/30/2017,405.06M
07/29/2017,405.20M
08/30/2017,405.23M
10/28/2017,405.20M
11/28/2017,405.22M
02/03/2018,405.20M
03/22/2018,406.33M
05/04/2018,407.48M
05/05/2018,407.60M
06/05/2018,407.48M
08/04/2018,407.60M
09/04/2018,407.79M
11/03/2018,408.00M
12/04/2018,407.87M
02/02/2019,408.00M
03/21/2019,409.07M
05/03/2019,409.08M
05/04/2019,409.20M
06/04/2019,409.08M
07/26/2019,361.08M
08/03/2019,362.00M
09/04/2019,361.83M
11/02/2019,271.60M
12/04/2019,263.69M
02/01/2020,257.20M
03/20/2020,257.83M
03/30/2020,257.83M
04/20/2020,258.33M
05/02/2020,258.40M
06/02/2020,259.04M
08/01/2020,260.80M
09/02/2020,260.65M
10/31/2020,260.80M
12/01/2020,260.59M
01/30/2021,261.20M
03/17/2021,261.34M
04/01/2021,261.38M
04/15/2021,264.34M
04/26/2021,277.20M
05/01/2021,277.20M
06/01/2021,277.52M
06/22/2021,297.52M
07/31/2021,303.60M
09/01/2021,305.97M
10/30/2021,303.60M
12/01/2021,305.40M
01/29/2022,303.60M
03/11/2022,305.36M
04/08/2022,305.36M
04/30/2022,303.60M
05/26/2022,304.52M
07/22/2022,304.52M
07/30/2022,304.00M
09/01/2022,304.53M
10/29/2022,304.30M
12/01/2022,304.58M
01/28/2023,304.60M
03/22/2023,304.68M
04/21/2023,304.72M
04/29/2023,304.70M
06/01/2023,304.75M
